tau,nc,corr_id,ReW,ImW,AbsW
2,8,0,0.3265881893671017,3.916441610006511e-05,0.3265881917153977
2,9,0,0.3266540198739622,-2.97729956360107e-05,0.3266540212307973
2,10,0,0.3270585256388101,8.035467479150418e-05,0.3270585355099389
2,11,0,0.3265288605616519,-4.590085489849368e-05,0.3265288637878422
2,12,0,0.3262919185031604,-7.372298346659848e-05,0.3262919268317121
2,13,0,0.3265634846167956,-0.0001200712013646929,0.32656350669074685
2,14,0,0.3261312140649053,7.83228048621967e-05,0.3261312234698034
2,15,0,0.3259290204038667,2.491991466675034e-05,0.3259290213565314
2,16,0,0.3264864941828942,0.0001670637952729893,0.32648653692633134
2,17,0,0.3267558684805432,0.0001117453990809895,0.3267558875881325
2,18,0,0.3266400734897169,-4.424865636090236e-05,0.3266400764868133
2,19,0,0.3258759247511804,8.587119664715666e-06,0.3258759248643195
2,20,0,0.3263942581638129,8.918934602348016e-05,0.32639427034959606
2,21,0,0.3266871956356139,-2.550181099877128e-05,0.3266871966309733
2,22,0,0.3266390498878217,-7.513169693598736e-05,0.32663905852850905
2,23,0,0.3270711633027413,7.944565742363434e-06,0.3270711633992281
2,24,0,0.3259411399972645,-7.279525716069657e-05,0.32594114812626196
2,25,0,0.3260918521069736,0.0001161357180920907,0.3260918727875035
2,26,0,0.3261182022519255,-0.0001207290728243591,0.3261182245988973
2,27,0,0.3258898605554585,3.494984014136129e-05,0.3258898624295446
2,28,0,0.3264371707768325,0.0001447069463481239,0.3264372028505379
2,29,0,0.32631493774689,-5.860067626352135e-05,0.3263149430087381
2,30,0,0.3265322868966952,-5.147309790943755e-05,0.32653229095369035
2,31,0,0.3268399372399942,-0.0001205338366179142,0.3268399594655603
2,32,0,0.3266194226201065,-1.395072383372581e-05,0.32661942291804147
2,33,0,0.326908013982815,0.0001369109955003605,0.3269080426523781
2,34,0,0.3264791036479229,9.90774690416475e-06,0.32647910379825934
2,35,0,0.3260389982910997,-4.110924012560607e-05,0.32603900088276766
2,36,0,0.3263932997829715,-0.0001076309949676597,0.3263933175290937
2,37,0,0.3268676120525361,7.680500097794832e-05,0.3268676210760794
2,38,0,0.3268298333418195,7.78916922122875e-05,0.3268298426235848
2,39,0,0.3267757698089993,-2.050906366127598e-06,0.32677576981543527
2,40,0,0.3257715974554882,3.941767929317635e-05,0.3257715998402164
2,41,0,0.3262835283969191,-4.591710709631133e-05,0.32628353162782187
2,42,0,0.3266236895919511,5.362146676131545e-05,0.3266236939934409
2,43,0,0.3264752922810697,0.0001104440929497903,0.3264753109622649
2,44,0,0.3265486224951016,-6.54034033169156e-05,0.3265486290448231
2,45,0,0.3264516512499025,-9.34080601135458e-05,0.3264516646133906
2,46,0,0.3269469378704306,-7.729932557194362e-05,0.3269469470082829
2,47,0,0.3267608579058909,-9.172401686085406e-06,0.3267608580346287
2,48,0,0.3270198868972687,-5.781398119053297e-05,0.3270198920077475
2,49,0,0.3270532678761485,6.78462037345041e-05,0.32705327491339253
2,50,0,0.3269016527817896,0.0001682335029377116,0.32690169607081765
2,51,0,0.32752053140125,-1.393610027236927e-05,0.3275205316977427
2,52,0,0.3270712215251821,-0.0001409580745174518,0.32707125189957237
2,53,0,0.3271567233648739,0.0001053964863824653,0.32715674034208736
2,54,0,0.3265679337253888,-2.268049182290346e-05,0.326567934512981
2,55,0,0.3268758015558753,3.881859669729575e-05,0.3268758038608539
2,56,0,0.3262079459328169,-0.000105532328870579,0.32620796300332705
2,57,0,0.3266025816860487,0.0001400938240274808,0.3266026117321655
