R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability
5,2,100,1.0513096836051303,0.003970506901802195,0.37767243693472047,ok,0.003931728050949377,0.3739838139288105,100,ok,good
5,3,100,1.0515687086878747,0.008996163792314668,0.8554993808763949,ok,0.008507105974152225,0.8089919283322162,100,ok,good
5,4,100,1.0236203975518219,0.023130540453044565,2.2596795167784407,ok,0.02290363111587993,2.2375121842685255,100,ok,good
5,5,100,0.9731082139987262,0.052582351359967354,5.403546142509099,ok,0.04944666526362667,5.081312083518329,100,ok,good
5,6,100,0.9069538375172863,0.13414940977658157,14.791205927724487,ok,0.13294633799734384,14.658556201854092,100,ok,marginal
5,7,100,1.2499538860871489,0.49933099636273115,39.94795343417309,ok,0.43650573783013913,34.92174732914148,100,ok,diagnostic_only
5,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
5,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
6,1,100,1.1688818575386262,0.003925807984788882,0.3358601178955464,ok,0.003663941643970011,0.3134569691829556,100,ok,good
6,2,100,1.1355561901887086,0.005897191421424253,0.5193218505941346,ok,0.005839493331657449,0.5142408083467039,100,ok,good
6,3,100,1.1383745277659616,0.01570975447472388,1.3800163383446373,ok,0.011490645872168973,1.0093906347956634,100,ok,good
6,4,100,1.116332409251029,0.04424129935527574,3.9630936975983846,ok,0.03687811430938552,3.303506554479398,100,ok,good
6,5,100,1.1782821038087254,0.11607579256956864,9.851273493364678,ok,0.09832921562631089,8.34513358969534,100,ok,good
6,6,100,0.7831426543166065,0.23744506873596838,30.319516811808697,ok,0.23522336348485304,30.03582580878779,100,ok,diagnostic_only
6,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
6,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
6,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
7,1,100,1.25781755820319,0.005498090943831807,0.4371135470302948,ok,0.004759712439071931,0.37841039887145844,100,ok,good
7,2,100,1.220778623745155,0.008366381141850749,0.6853315563622846,ok,0.008284704472832487,0.6786410174365871,100,ok,good
7,3,100,1.2186490359660063,0.018159388355437026,1.4901245411516146,ok,0.017810826247794447,1.4615222038620865,100,ok,good
7,4,100,1.2771233250349963,0.07820187093719261,6.123282646572107,ok,0.06239012389760147,4.885207456052988,100,ok,good
7,5,100,1.0829530835995778,0.23808683060221025,21.984962618218365,ok,0.1829049595292709,16.889462923114042,100,ok,marginal
7,6,100,1.3322027321146437,0.7282241355362372,54.66316184326586,ok,0.7424771505011178,55.73304517418025,100,ok,diagnostic_only
7,7,100,0.9857042578875803,1.727974076411995,175.30350128700272,ok,1.762223475327638,178.77811333636538,100,ok,diagnostic_only
7,8,100,-0.6551526443477266,1.6483516572752608,251.5981079365662,ok,1.6039828663444349,244.8258249711208,100,ok,diagnostic_only
7,9,100,-0.6112339185381667,1.0864901228754675,177.75357190156078,ok,1.0762315312914812,176.0752305541891,100,ok,diagnostic_only
8,1,100,1.3489525837064484,0.007819436977151189,0.579667296804912,ok,0.006228844390284587,0.4617541391388204,100,ok,good
8,2,100,1.3041139751672044,0.011967496185468144,0.9176725664590593,ok,0.011849302120986102,0.9086093966186405,100,ok,good
8,3,100,1.2845218183907405,0.030837100975245474,2.4006677452842684,ok,0.029183537241163453,2.2719378389169615,100,ok,good
8,4,100,1.5533736825779445,0.1468294790922487,9.452296040484846,ok,0.12916841134970483,8.315346963735074,100,ok,good
8,5,100,1.10351047128049,0.35057669110493683,31.769221971961457,ok,0.3484364514126863,31.57527368166866,100,ok,diagnostic_only
8,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
8,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
8,8,100,0.32573637020584345,2.2343828321845294,685.948219651539,ok,2.3429181398704704,719.268204035645,100,ok,diagnostic_only
8,9,100,-0.9173863187544294,2.0323850693462355,221.54080868632124,ok,2.2008259892064808,239.90176703252197,100,ok,diagnostic_only
9,1,100,1.4478698731379975,0.008731252007314673,0.6030412103534729,ok,0.007983455771413848,0.5513931824626714,100,ok,good
9,2,100,1.390067719415896,0.01758082676745459,1.264746063942987,ok,0.017414195201503575,1.2527587655097112,100,ok,good
9,3,100,1.4071318758073232,0.05582754766487156,3.9674708976968662,ok,0.046626301896921574,3.313570156327412,100,ok,good
9,4,100,1.5651008636594692,0.21103361924008007,13.483707289423375,ok,0.17960103866714638,11.475365124213717,100,ok,marginal
9,5,100,1.7353507396385803,1.074939347440228,61.943636112668756,ok,1.1139536971127568,64.19184731178659,100,ok,diagnostic_only
9,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
9,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
9,8,100,2.3066282383427072,3.961411896163492,171.74037108856922,ok,,,99,invalid_jackknife_samples,diagnostic_only
9,9,100,-1.6548180890875595,3.9605541393921695,239.3347139186735,ok,,,99,invalid_jackknife_samples,diagnostic_only
10,1,100,1.5492397944331633,0.01208191066637922,0.7798605941954749,ok,0.011400639146174323,0.7358860253357741,100,ok,good
10,2,100,1.4771093033008393,0.025481085058594484,1.7250642861467926,ok,0.025244462040255065,1.7090449558365273,100,ok,good
10,3,100,1.5392016914935507,0.07419356003335151,4.820262376489364,ok,0.06543614508224316,4.251304130178533,100,ok,good
10,4,100,1.8082603070657344,0.36041287161355134,19.931470607702142,ok,0.3569808505725828,19.74167376111108,100,ok,marginal
10,5,100,1.9735376434637226,2.4454265432339675,123.91081322077244,ok,2.9921653760277374,151.6143046948037,100,ok,diagnostic_only
10,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
10,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
10,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
10,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
11,1,100,1.6404641387879484,0.015735142874773563,0.9591884700630775,ok,0.015281780551159137,0.9315522473078888,100,ok,good
11,2,100,1.5201143798239412,0.03746328204885943,2.4645041548254025,ok,0.03709068522950217,2.4399930506412284,100,ok,good
11,3,100,1.6542587277012082,0.13238692896664728,8.002794650545072,ok,0.11401826699409369,6.892408369066657,100,ok,good
11,4,100,2.1772695359571332,0.851376901883211,39.1029630380119,ok,0.8412973136241687,38.640016760916666,100,ok,diagnostic_only
11,5,100,0.1598139265515904,1.2733244432821977,796.7543697583508,ok,1.2598993075775096,788.3538905295557,100,ok,diagnostic_only
11,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
11,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
11,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
11,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,1,100,1.6790580953741752,0.01850391313429467,1.1020412685703471,ok,0.017968343136735843,1.0701442187282761,100,ok,good
12,2,100,1.543046588264606,0.046527095032534264,3.015274806761419,ok,0.04606963490791607,2.985628253760535,100,ok,good
12,3,100,2.0193682984388346,0.2151743291710894,10.655526747519993,ok,0.2089833443619031,10.348946476156295,100,ok,marginal
12,4,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,5,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,6,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid
12,9,100,5.1051854365878615,83.73171720597435,1640.1307699008457,ok,,,56,invalid_jackknife_samples,diagnostic_only
