R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
6,6,100,0.7831426543166065,0.2374450687359683,30.319516811808697,ok,0.235223363484853,30.03582580878779,100,ok,diagnostic_only,8.845820241217039e-11,8.95999206783305e-12,10.129068671420686,19,validated_R1-6
6,7,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,4.042253785058718e-11,9.751526578748922e-12,24.123984037799023,31,validated_R1-6
6,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-9.669723036152684e-12,1.0937639030389582e-11,113.11222658080769,52,validated_R1-6
6,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-1.1756073004684185e-11,9.983024774356144e-12,84.91802296888108,55,validated_R1-6
7,1,100,1.25781755820319,0.0054980909438318,0.4371135470302948,ok,0.0047597124390719,0.3784103988714584,100,ok,good,2.060615803174757e-08,7.021530004234895e-11,0.3407491097281181,0,borderline_R7-8
7,2,100,1.220778623745155,0.0083663811418507,0.6853315563622846,ok,0.0082847044728324,0.6786410174365871,100,ok,good,5.857790041883429e-09,3.205787691124507e-11,0.5472691353228776,0,borderline_R7-8
7,3,100,1.2186490359660065,0.018159388355437,1.4901245411516146,ok,0.0178108262477944,1.4615222038620863,100,ok,good,1.728050306913793e-09,1.5061775354283312e-11,0.8716051433237988,0,borderline_R7-8
7,4,100,1.2771233250349965,0.0782018709371926,6.123282646572107,ok,0.0623901238976014,4.885207456052988,100,ok,good,5.108622711394088e-10,9.546879405714243e-12,1.8687775443704675,0,borderline_R7-8
7,5,100,1.0829530835995778,0.2380868306022102,21.984962618218365,ok,0.1829049595292709,16.889462923114042,100,ok,marginal,1.4244795440315002e-10,9.266037475224064e-12,6.504858222814296,6,borderline_R7-8
7,6,100,1.3322027321146437,0.7282241355362372,54.66316184326586,ok,0.7424771505011178,55.73304517418025,100,ok,diagnostic_only,4.823204417811488e-11,8.868485864600871e-12,18.38712419455138,29,borderline_R7-8
