cfg,T,R,Nsrc,Re,Im
9,4,2,13824,8.388583774369674e-09,3.229095756284629e-10
9,4,3,13824,4.380353033752611e-09,6.599783460135918e-10
9,4,4,13824,2.8541073934628406e-09,4.06770164797384e-10
9,5,0,13824,1.738883586624762e-07,0.0
9,5,1,13824,1.4891033542859212e-08,-7.53623436735057e-11
9,5,2,13824,4.550402594539272e-09,4.054808210009366e-10
9,5,3,13824,2.2696606245573343e-09,3.316517245739134e-10
9,5,4,13824,1.2201997720860234e-09,6.551522097771772e-11
9,6,0,13824,1.7269989741910566e-07,0.0
9,6,1,13824,9.84803765496283e-09,6.181290221931675e-11
9,6,2,13824,2.003370699766499e-09,2.1315363649954372e-10
9,6,3,13824,1.8261522404981033e-09,5.662419794473014e-10
9,6,4,13824,7.709654662558481e-10,2.990641152755054e-10
9,7,0,13824,1.7329376034345248e-07,0.0
9,7,1,13824,5.734571607689151e-09,4.4192071901204396e-11
9,7,2,13824,1.5817686114835855e-09,6.298226556058899e-10
9,7,3,13824,6.955319420257253e-10,3.2111595098283525e-10
9,7,4,13824,6.662785776974988e-12,3.691627029511472e-10
9,8,0,13824,1.7372587542315495e-07,0.0
9,8,1,13824,3.6358665609588477e-09,-5.790248142286155e-10
9,8,2,13824,6.293114488415479e-10,7.74919333968525e-10
9,8,3,13824,2.569394962429138e-10,-5.158427787658796e-10
9,8,4,13824,5.5152242584929015e-11,5.480726316733403e-10
10,1,0,13824,1.7704798348452852e-07,0.0
10,1,1,13824,1.0251729959583122e-07,-5.210293509499074e-10
10,1,2,13824,7.529332383459054e-08,-1.2623755834846424e-09
10,1,3,13824,5.961513918767756e-08,-1.6237783364317302e-09
10,1,4,13824,4.78256246791837e-08,-1.2600374786901157e-09
10,2,0,13824,1.7513310559274595e-07,0.0
10,2,1,13824,6.268707679678322e-08,-2.091314665791452e-11
10,2,2,13824,3.679917215924814e-08,-5.615492328265951e-10
10,2,3,13824,2.4751741142134182e-08,-6.64897555201279e-10
10,2,4,13824,1.7858194570138074e-08,-6.288947712615434e-10
10,3,0,13824,1.7325214842955288e-07,0.0
10,3,1,13824,3.7551499752633296e-08,5.572561385098501e-10
10,3,2,13824,1.6632021667472577e-08,2.241847846780672e-10
10,3,3,13824,9.519800774826209e-09,-5.509841790643423e-10
10,3,4,13824,5.691880593788656e-09,-3.545632067124694e-10
10,4,0,13824,1.7385810556463444e-07,0.0
10,4,1,13824,2.424394252408497e-08,-2.8129427144884667e-10
10,4,2,13824,8.838279766584693e-09,-4.0944249485990764e-10
10,4,3,13824,4.00647262827141e-09,-5.005684530816045e-10
10,4,4,13824,2.653343779321762e-09,2.787412698516361e-11
10,5,0,13824,1.7391379292923275e-07,0.0
10,5,1,13824,1.483710205366377e-08,1.951623047424676e-11
10,5,2,13824,4.727095961861037e-09,-2.405177290305788e-10
10,5,3,13824,1.7842975806082537e-09,5.89841754652325e-10
10,5,4,13824,5.803540780784486e-10,4.892978344018433e-10
10,6,0,13824,1.7402497892798378e-07,0.0
10,6,1,13824,9.560922183446447e-09,4.719973452567971e-10
10,6,2,13824,2.7810946929166297e-09,-4.0573534999216415e-11
10,6,3,13824,6.383682943696389e-10,-2.343240386597978e-10
10,6,4,13824,6.844850766787417e-10,5.383808708540213e-10
10,7,0,13824,1.7520368182890313e-07,0.0
10,7,1,13824,5.7560532251256376e-09,7.091410554107227e-11
10,7,2,13824,9.90583468521358e-10,-4.19052580823116e-11
10,7,3,13824,4.007849288766625e-10,-7.13727468303853e-11
10,7,4,13824,5.767002662900668e-10,1.899542332510582e-10
10,8,0,13824,1.740771375444284e-07,0.0
10,8,1,13824,3.4837417299450163e-09,-1.0306155592163495e-10
10,8,2,13824,7.154910101544755e-10,3.696403637560246e-10
10,8,3,13824,1.9248958509092642e-10,9.197519105388729e-11
10,8,4,13824,3.1099978925805984e-10,-3.555169120727529e-11
11,1,0,13824,1.7533332919007822e-07,0.0
11,1,1,13824,1.0109587382507463e-07,-5.031632048221111e-10
11,1,2,13824,7.457757551517482e-08,-9.82048240397742e-10
11,1,3,13824,5.819965656493492e-08,-1.2167560761149206e-09
11,1,4,13824,4.525693067539599e-08,-1.667296604711942e-09
11,2,0,13824,1.7650678734693157e-07,0.0
11,2,1,13824,6.164693556154252e-08,-3.569937379654405e-10
11,2,2,13824,3.5442810064293176e-08,-2.477320312055613e-10
11,2,3,13824,2.3856420328809703e-08,-2.985563238250686e-10
11,2,4,13824,1.661215303286257e-08,-3.479026404050386e-10
11,3,0,13824,1.7658438971521008e-07,0.0
11,3,1,13824,3.8101091922803126e-08,2.285375053824111e-10
11,3,2,13824,1.762075657276522e-08,-1.776375424653865e-10
11,3,3,13824,1.106488638202313e-08,-3.7616517338307637e-10
