cfg,T,R,Nsrc,Re,Im
4,6,2,82944,2.05796360105845e-09,3.2629629110042054e-11
4,6,3,82944,5.52696030114893e-10,-1.9966751733385458e-11
4,6,4,82944,5.415169940439572e-10,1.7243680496360148e-12
4,6,5,82944,3.664713952091261e-10,1.9967815901489469e-10
4,6,6,82944,3.224321212751937e-10,1.2432753180467236e-10
4,7,0,82944,1.7490621443998976e-07,0.0
4,7,1,82944,5.5689395689738745e-09,-2.1499897242101403e-10
4,7,2,82944,1.0808458516282297e-09,-2.805956801593934e-11
4,7,3,82944,1.0320680137276912e-10,-1.1209124058181451e-10
4,7,4,82944,1.8691640836568748e-10,1.3540144616902226e-11
4,7,5,82944,6.256962657792205e-11,1.5453389592781782e-10
4,7,6,82944,4.693949215540567e-12,8.951882927822492e-11
4,8,0,82944,1.7394872622541988e-07,0.0
4,8,1,82944,3.3834709351399637e-09,-3.083076344532679e-10
4,8,2,82944,6.34976126779544e-10,-4.1236764322668026e-11
4,8,3,82944,2.329274998771403e-10,-1.9602431444248482e-10
4,8,4,82944,8.791521887196307e-11,3.0397334038914045e-11
4,8,5,82944,1.9658349589408413e-10,2.428471672345199e-10
4,8,6,82944,9.936599253904269e-11,-1.4000665038755426e-11
5,1,0,82944,1.7725362420748235e-07,0.0
5,1,1,82944,1.0245658096474072e-07,-1.0806671421722022e-10
5,1,2,82944,7.496340207042074e-08,-1.3842703983670992e-10
5,1,3,82944,5.857550770313825e-08,-1.6903051175387305e-10
5,1,4,82944,4.600210974811767e-08,-7.572442319624252e-11
5,1,5,82944,3.565661722076722e-08,-8.522509215561354e-12
5,1,6,82944,2.7250738910525693e-08,3.378838979731578e-11
5,2,0,82944,1.762796477230496e-07,0.0
5,2,1,82944,6.276941014540532e-08,-5.747105376940725e-11
5,2,2,82944,3.674009377637922e-08,1.2617508930925486e-11
5,2,3,82944,2.5014218946315378e-08,5.31882608894385e-11
5,2,4,82944,1.7669263802298522e-08,8.528024997898574e-11
5,2,5,82944,1.2213092672450104e-08,1.5327335987923432e-10
5,2,6,82944,8.414927620574084e-09,2.3778042749940083e-10
5,3,0,82944,1.7580608791368375e-07,0.0
5,3,1,82944,3.8402968549093356e-08,1.0687070800866362e-10
5,3,2,82944,1.8159557396745742e-08,1.1473804513980783e-10
5,3,3,82944,1.0961249319212995e-08,7.77979266477412e-11
5,3,4,82944,6.907955495581714e-09,2.7093912141561974e-10
5,3,5,82944,4.481287423836677e-09,1.0000442599085358e-10
5,3,6,82944,2.7341594617677975e-09,-8.339927309221332e-11
5,4,0,82944,1.7366448169125185e-07,0.0
5,4,1,82944,2.3563562373297797e-08,-3.007407879752231e-11
5,4,2,82944,8.921449389007617e-09,8.38081601685802e-11
5,4,3,82944,4.6935600767218746e-09,6.612105255447659e-11
5,4,4,82944,2.7169070471204157e-09,9.385691912467526e-11
5,4,5,82944,1.66962736904733e-09,3.78018364587836e-11
5,4,6,82944,7.617875580677972e-10,-1.0891370873191066e-10
5,5,0,82944,1.749016836502555e-07,0.0
5,5,1,82944,1.4764694340230027e-08,6.027616892725459e-11
5,5,2,82944,4.7383251413951265e-09,-5.889052254707683e-11
5,5,3,82944,2.1464484365319678e-09,-1.2950130696248783e-10
5,5,4,82944,9.397014405934243e-10,-8.481435721667947e-12
5,5,5,82944,7.578878217775406e-10,-4.686693194689268e-11
5,5,6,82944,1.4791827867667256e-10,-1.107124371857376e-10
5,6,0,82944,1.7529860687724676e-07,0.0
5,6,1,82944,9.072333623231798e-09,6.449957416268834e-11
5,6,2,82944,2.553912281714532e-09,-1.331499868024514e-10
5,6,3,82944,7.856563740392459e-10,-3.561039012814176e-10
5,6,4,82944,1.666798521825234e-10,-7.139095576604574e-11
5,6,5,82944,3.6226468435315477e-10,-1.4596781025535027e-10
5,6,6,82944,-2.913855342771067e-11,-2.2817242343478553e-10
5,7,0,82944,1.7523755336327477e-07,0.0
5,7,1,82944,5.713661807422755e-09,-7.971250467430749e-11
5,7,2,82944,1.2746965040114718e-09,-6.822722032675576e-11
5,7,3,82944,3.696655512024647e-10,1.1517292610275595e-11
5,7,4,82944,-2.38241106288916e-11,6.365223200279704e-11
5,7,5,82944,2.876231646933373e-10,-1.2446327915699018e-10
5,7,6,82944,-2.1628902443245627e-10,5.665814658765943e-11
5,8,0,82944,1.7370286118686905e-07,0.0
5,8,1,82944,3.4120814165403686e-09,4.962354143830854e-12
5,8,2,82944,6.226805761677742e-10,-9.568809709649227e-12
5,8,3,82944,-1.21114297428197e-11,-2.1257922508233142e-10
5,8,4,82944,-5.0708944293143493e-11,2.0616521412635514e-11
5,8,5,82944,4.908699333887883e-11,-9.248494876891198e-11
5,8,6,82944,-9.683934323455473e-11,-2.794221439306522e-10
6,1,0,82944,1.7649903627688368e-07,0.0
6,1,1,82944,1.0287350505158771e-07,2.01441422890365e-12
6,1,2,82944,7.546441046031591e-08,-8.475288319689307e-11
6,1,3,82944,5.902314102410211e-08,2.756200011687033e-11
6,1,4,82944,4.649746374288399e-08,1.849760423531682e-10
6,1,5,82944,3.607478684154171e-08,1.690814193329324e-10
6,1,6,82944,2.738133643555368e-08,1.500610560783416e-10
6,2,0,82944,1.7448525950383262e-07,0.0
6,2,1,82944,6.255059387652094e-08,-1.4494182671370144e-10
6,2,2,82944,3.6899372316516384e-08,-1.5261306414464924e-10
6,2,3,82944,2.5213328309285545e-08,-9.354711984293593e-11
6,2,4,82944,1.7839998421827446e-08,-8.405597298263266e-11
6,2,5,82944,1.2515649705001551e-08,-3.7679726661262526e-10
6,2,6,82944,8.597497439073046e-09,-5.740651515704428e-10
6,3,0,82944,1.7386446792653872e-07,0.0
6,3,1,82944,3.8474613961242977e-08,-3.2031435154299234e-11
6,3,2,82944,1.8106539603164717e-08,-2.3027132479584807e-11
6,3,3,82944,1.0711287636242056e-08,-8.543577217364202e-11
6,3,4,82944,6.616063960184802e-09,7.945308083387491e-11
6,3,5,82944,4.2263480418166445e-09,-7.569025096980671e-11
6,3,6,82944,2.6955063730190406e-09,-8.011568883764629e-11
6,4,0,82944,1.7486626589551998e-07,0.0
6,4,1,82944,2.390531964077407e-08,5.829611278564573e-11
6,4,2,82944,9.16013716320228e-09,2.9294423026436056e-11
6,4,3,82944,4.971601570248017e-09,-2.556171953731478e-10
6,4,4,82944,2.6979394170539592e-09,-2.18340663716507e-10
6,4,5,82944,1.1603358002803258e-09,-1.3401553571103446e-10
6,4,6,82944,8.357221604603666e-10,-1.0180543499622475e-10
6,5,0,82944,1.7487712911341554e-07,0.0
6,5,1,82944,1.4837537754710416e-08,1.3635676394951448e-10
6,5,2,82944,4.519261933361133e-09,1.4466357613490426e-10
6,5,3,82944,2.1614146467128915e-09,-1.896818811167022e-10
6,5,4,82944,1.1457954222768638e-09,-2.1430206390386536e-10
6,5,5,82944,5.540329835599916e-10,2.7643793639260596e-11
6,5,6,82944,3.0513406550303446e-10,8.762849036440626e-11
6,6,0,82944,1.745299755591105e-07,0.0
6,6,1,82944,9.099374226496161e-09,-1.9344972555519906e-10
6,6,2,82944,2.235455333338867e-09,2.5093520539277054e-10
6,6,3,82944,8.272524639506578e-10,-3.5305829385146564e-10
6,6,4,82944,4.165222141448977e-10,-2.6542342543562687e-10
6,6,5,82944,1.3759526955414501e-10,-1.0203518848327964e-11
6,6,6,82944,-5.648519701459459e-11,-2.847913603860099e-11
6,7,0,82944,1.7440043544438672e-07,0.0
6,7,1,82944,5.6674531925863335e-09,-2.0468666162989956e-10
6,7,2,82944,1.0902593121696928e-09,2.430630815334317e-10
6,7,3,82944,4.060418754238655e-10,-2.213846495952109e-10
6,7,4,82944,1.0066562214475924e-10,-1.4117458179496254e-10
6,7,5,82944,9.476637143331964e-11,3.231129594699415e-11
6,7,6,82944,6.626491631157723e-11,-1.1699312985964068e-11
6,8,0,82944,1.7436937053639514e-07,0.0
6,8,1,82944,3.428235029111385e-09,-2.547471304304898e-10
6,8,2,82944,8.779357096315586e-10,2.3073621811635205e-10
6,8,3,82944,1.7767932652309306e-10,4.439022140472538e-11
6,8,4,82944,1.789022686729801e-10,1.7934269190243743e-10
6,8,5,82944,-3.346908020145682e-11,1.700039117855486e-10
6,8,6,82944,1.0079825499237178e-10,1.0533790106046686e-11
7,1,0,82944,1.7661910188133164e-07,0.0
7,1,1,82944,1.0257588965660299e-07,-1.511812363495519e-10
7,1,2,82944,7.545220601831899e-08,-2.378043389907538e-10
7,1,3,82944,5.9222013082742784e-08,-4.171253248226685e-10
7,1,4,82944,4.6638914721648735e-08,-4.506334541412107e-10
7,1,5,82944,3.62554532744958e-08,-4.880420495928829e-10
7,1,6,82944,2.768068632839639e-08,-4.842823946590813e-10
7,2,0,82944,1.752601447136337e-07,0.0
7,2,1,82944,6.277398799347464e-08,6.547609181591024e-11
7,2,2,82944,3.7081314566143277e-08,-1.3284518616592133e-10
7,2,3,82944,2.530311653387179e-08,-1.1095960262903757e-10
7,2,4,82944,1.7924869296889943e-08,-3.3044253248837006e-10
7,2,5,82944,1.2853575097435149e-08,-2.882042499991206e-10
7,2,6,82944,8.855895248090474e-09,-2.809506157627633e-10
7,3,0,82944,1.7415002053803504e-07,0.0
7,3,1,82944,3.843599928357864e-08,-3.1728320678596937e-12
7,3,2,82944,1.8164502855090187e-08,-9.71439656407923e-11
7,3,3,82944,1.1030470474052181e-08,-1.3799975425088862e-10
7,3,4,82944,6.904755147703848e-09,-2.4069981480759154e-10
7,3,5,82944,4.424422776593671e-09,-3.5467220600156453e-10
7,3,6,82944,2.9247241572636627e-09,-2.9600320196174614e-10
7,4,0,82944,1.7444144975434743e-07,0.0
7,4,1,82944,2.4150025416357943e-08,2.4556973810015544e-10
7,4,2,82944,9.196422062012866e-09,1.1361250130608845e-10
7,4,3,82944,4.797857511686223e-09,4.14425318996605e-11
7,4,4,82944,2.870105324747972e-09,-2.3445012744355433e-10
7,4,5,82944,1.6190737667343961e-09,-2.579923081210147e-10
7,4,6,82944,9.587144873853996e-10,1.8931801441206263e-11
7,5,0,82944,1.7389027235500579e-07,0.0
7,5,1,82944,1.4995626653762264e-08,6.913655329827267e-11
7,5,2,82944,4.403281136894692e-09,-1.0498530005190538e-10
7,5,3,82944,2.1108064791359934e-09,-1.3152859749348204e-10
7,5,4,82944,1.0222180727090286e-09,6.418711703976333e-11
7,5,5,82944,4.4452133270898695e-10,-6.321534936145836e-11
7,5,6,82944,3.3299177346179246e-10,3.877212210250584e-11
7,6,0,82944,1.7413087703361648e-07,0.0
7,6,1,82944,9.140794226525715e-09,2.659495292320556e-10
7,6,2,82944,2.125215569191232e-09,-1.5374857314606594e-10
7,6,3,82944,1.069350433297856e-09,-2.4144434938038654e-11
7,6,4,82944,3.3144117582827834e-10,-6.869958423347214e-11
7,6,5,82944,2.908924120715079e-10,1.6840240561047066e-10
7,6,6,82944,1.303437488563312e-10,1.4141983977205547e-10
7,7,0,82944,1.7489951695422799e-07,0.0
7,7,1,82944,5.740677448940243e-09,2.4304571492296544e-10
7,7,2,82944,9.893084817968956e-10,9.00238471316345e-12
7,7,3,82944,1.2902884021350997e-10,3.5006820648645507e-10
7,7,4,82944,7.229192124140807e-11,1.242734652334381e-10
7,7,5,82944,6.070799125021746e-11,-5.7460869405608064e-11
7,7,6,82944,-5.060050816036478e-12,-9.469716106489267e-11
7,8,0,82944,1.7456901445903651e-07,0.0
7,8,1,82944,3.54870265663746e-09,1.308926524053575e-10
7,8,2,82944,4.6334293882091555e-10,2.1565009560804008e-10
7,8,3,82944,-1.0910692207497037e-10,2.799756256450617e-10
7,8,4,82944,3.263959252301772e-11,2.1839979217359866e-10
7,8,5,82944,1.0293312103690199e-10,-1.5047448931692197e-10
7,8,6,82944,1.1581691053967554e-10,-9.896669782903194e-11
8,1,0,82944,1.773440398020645e-07,0.0
8,1,1,82944,1.0321457408257526e-07,-1.5040309955669442e-10
8,1,2,82944,7.612712306467626e-08,-2.568078167488693e-10
8,1,3,82944,5.984368814626344e-08,-3.0213455013021754e-10
8,1,4,82944,4.73139412617428e-08,-3.310550678616314e-10
8,1,5,82944,3.726056669149943e-08,-2.9583695464685123e-10
8,1,6,82944,2.8831026206703492e-08,-2.798012694386678e-10
8,2,0,82944,1.7582123098125695e-07,0.0
8,2,1,82944,6.29879433701946e-08,-1.5634453958421845e-10
8,2,2,82944,3.683694836422869e-08,-9.215020841093671e-11
8,2,3,82944,2.5144978732534446e-08,1.4036638309554996e-11
8,2,4,82944,1.760263455052116e-08,-8.101614071500919e-11
8,2,5,82944,1.2668889229609104e-08,-1.085303031726478e-10
8,2,6,82944,8.928015116753324e-09,-1.1481319865723199e-11
8,3,0,82944,1.748268950644996e-07,0.0
8,3,1,82944,3.8708887835767356e-08,-1.1102436601395467e-10
8,3,2,82944,1.8342515430655137e-08,3.5475183364821684e-11
8,3,3,82944,1.0775440590729549e-08,4.1515966728602184e-11
8,3,4,82944,6.698975767905028e-09,-1.0116324429198176e-11
8,3,5,82944,4.373002291771896e-09,-1.5428808011747833e-10
8,3,6,82944,3.1030571472425328e-09,-1.2816304562963545e-10
8,4,0,82944,1.7516330846462642e-07,0.0
