R_over_a,aV,err_aV_jackknife,lower_1sigma,upper_1sigma
1.9500000000000002,0.697390465804287,0.0005872419902428459,0.6968032238140441,0.6979777077945298
1.9625,0.6993675408903892,0.0005878818980169371,0.6987796589923723,0.6999554227884062
1.975,0.7013330886850743,0.0005884746483746358,0.7007446140366996,0.7019215633334489
1.9875,0.7032873266844065,0.0005890228330387059,0.7026983038513678,0.7038763495174453
2.0,0.7052304669470488,0.0005895290116655793,0.7046409379353833,0.7058199959587144
2.0125,0.7071627162631261,0.0005899957127220061,0.7065727205504041,0.7077527119758481
2.0250000000000004,0.7090842763168338,0.0005904254343156209,0.7084938508825182,0.7096747017511494
2.0375,0.7109953438430621,0.0005908206449730884,0.710404523198089,0.7115861644880351
2.05,0.7128961107782892,0.0005911837843693722,0.7123049269939198,0.7134872945626586
2.0625,0.7147867644059881,0.0005915172640067192,0.7141952471419813,0.7153782816699948
2.075,0.7166674874967767,0.0005918234678424804,0.7160756640289342,0.7172593109646191
2.0875000000000004,0.7185384584435337,0.0005921047528658916,0.7179463536906678,0.7191305631963996
2.1,0.7203998513916879,0.0005923634496251318,0.7198074879420628,0.720992214841313
2.1125,0.7222518363648834,0.0005926018627025987,0.7216592345021808,0.722844438227586
2.125,0.7240945793862078,0.0005928222711392671,0.7235017571150686,0.724687401657347
2.1375,0.7259282425951675,0.0005930269288099749,0.7253352156663575,0.7265212695239776
2.1500000000000004,0.7277529843605829,0.0005932180647459049,0.727159766295837,0.7283462024253288
2.1625,0.7295689593895672,0.0005933978834097272,0.7289755615061575,0.730162357272977
2.175,0.7313763188327488,0.0005935685649188868,0.7307827502678299,0.7319698873976677
2.1875,0.7331752103858842,0.0005937322652209736,0.7325814781206632,0.7337689426511051
2.2,0.7349657783880084,0.0005938911162202692,0.734371887271788,0.7355596695042287
2.2125000000000004,0.736748163916257,0.0005940472258559078,0.7361541166904011,0.7373422111421128
2.225,0.7385225048774932,0.0005942026781329148,0.7379283021993602,0.7391167075556261
2.2375,0.7402889360968623,0.0005943595331076479,0.7396945765637547,0.7408832956299699
2.25,0.7420475894033957,0.0005945198268264997,0.7414530695765692,0.7426421092302221
2.2625,0.7437985937127756,0.0005946855712209537,0.7432039081415546,0.7443932792839966
2.2750000000000004,0.7455420751073726,0.0005948587539596564,0.7449472163534129,0.7461369338613323
2.2875,0.7472781569136586,0.0005950413382568904,0.7466831155754017,0.7478731982519156
2.3,0.7490069597770952,0.00059523526264272,0.7484117245144525,0.7496021950397379
2.3125,0.7507286017345934,0.0005954424406924672,0.750133159293901,0.7513240441752859
2.325,0.7524431982846365,0.0005956647607181248,0.7518475335239183,0.7530388630453546
2.3375000000000004,0.754150862455151,0.0005959040854258114,0.7535549583697252,0.7547467665405767
2.35,0.7558517048692147,0.0005961622515375771,0.7552555426176771,0.7564478671207523
2.3625,0.757545833808676,0.0005964410693821386,0.7569493927392938,0.7581422748780582
2.375,0.7592333552757656,0.000596742322455129,0.7586366129533105,0.7598300975982207
2.3875,0.7609143730527721,0.0005970677669526068,0.7603173052858195,0.7615114408197247
2.4000000000000004,0.7625889887598528,0.0005974191312778318,0.761991569628575,0.7631864078911307
2.4125,0.7642573019110482,0.0005977981155263425,0.7636595037955219,0.7648551000265745
2.425,0.7659194099685626,0.0005982063909505286,0.765321203577612,0.7665176163595131
2.4375,0.7675754083953756,0.0005986455994054035,0.7669767627959703,0.768174053994781
2.45,0.7692253907062432,0.000599117352781759,0.7686262733534615,0.7698245080590249
2.4625000000000004,0.7708694485171439,0.0005996232324244675,0.7702698252847194,0.7714690717495684
2.475,0.772507671593229,0.0006001647885436028,0.7719075068046853,0.7731078363817726
2.4875,0.7741401478953245,0.0006007435396193927,0.7735394043557051,0.7747408914349438
2.5,0.7757669636250406,0.0006013609718026044,0.775165602653238,0.7763683245968432
2.5125,0.7773882032685321,0.0006020185383163445,0.7767861847302158,0.7779902218068484
2.5250000000000004,0.7790039496389607,0.0006027176588605243,0.7784012319801001,0.7796066672978212
2.5375,0.7806142839177016,0.0006034597190227748,0.7800108241986788,0.7812177436367244
2.55,0.7822192856943389,0.0006042460696981961,0.7816150396246406,0.7828235317640371
2.5625,0.7838190330054882,0.0006050780265229779,0.7832139549789652,0.7844241110320112
2.575,0.7854136023724918,0.0006059568693222579,0.7848076455031695,0.7860195592418141
2.5875000000000004,0.7870030688380186,0.0006068838415774425,0.7863961849964411,0.7876099526795961
2.6,0.7885875060016089,0.0006078601499162272,0.7879796458516927,0.7891953661515251
2.6125,0.7901669860541998,0.0006088869636257764,0.789558099090574,0.7907758730178256
2.625,0.7917415798116625,0.0006099654141943446,0.7911316143974682,0.7923515452258568
2.6375,0.7933113567473876,0.0006110965948837424,0.7927002601525038,0.7939224533422714
2.6500000000000004,0.7948763850239469,0.0006122815603336157,0.7942641034636132,0.7954886665842805
2.6625,0.7964367315238636,0.0006135213262023133,0.7958232101976613,0.7970502528500659
2.675,0.797992461879521,0.000614816868844916,0.7973776450106761,0.7986072787483659
2.6875,0.7995436405022338,0.0006161691250309559,0.7989274713772029,0.8001598096272647
2.7,0.8010903306105155,0.0006175789917052545,0.8004727516188103,0.8017079096022207
2.7125000000000004,0.802632594257561,0.0006190473257912813,0.8020135469317696,0.8032516415833523
2.725,0.8041704923579742,0.0006205749440403137,0.8035499174139339,0.8047910673020146
2.7375,0.805704084713764,0.0006221626229271688,0.8050819220908368,0.8063262473366911
