model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-5,1,5,93,0.6623099730156298,0.08711856772019451,0.268884163745296,0.29515854675105463
cornell,R1-5,1,5,94,0.6619512163803908,0.08726362325870797,0.2686785107427338,0.2954041693319645
cornell,R1-5,1,5,95,0.6625639787658354,0.08716704207076345,0.26922849467375015,0.2952406511149226
cornell,R1-5,1,5,96,0.6644820647554941,0.08655283285910241,0.2704849747458448,0.2941986282413676
cornell,R1-5,1,5,97,0.6640155727796733,0.08670399645338575,0.27015884983531824,0.294455423542148
cornell,R1-5,1,5,98,0.662655458320979,0.08699951293308426,0.2692319974747976,0.2949567984181485
cornell,R1-5,1,5,99,0.6642659905876351,0.0864366962961615,0.27014799178671545,0.2940011841747606
cornell,R1-5,1,5,100,0.6636763358553828,0.08673919961091106,0.26995559012867193,0.2945151941936291
cornell,R1-4,1,4,1,0.6685024683466853,0.08527019327373818,0.2732542859465309,0.2920106047282156
cornell,R1-4,1,4,2,0.6668346639707851,0.08574745737712307,0.27209536123762257,0.2928266678038786
cornell,R1-4,1,4,3,0.6675452532137408,0.08561334535167815,0.27263582078547305,0.29259758261420776
cornell,R1-4,1,4,4,0.6680050698440898,0.08540256140066735,0.2728875796633858,0.2922371663575106
cornell,R1-4,1,4,5,0.6695143260267056,0.08507944724786326,0.2740870923895813,0.2916838138256274
cornell,R1-4,1,4,6,0.6674004374395583,0.08576599467895497,0.27263860090678965,0.2928583184390619
cornell,R1-4,1,4,7,0.6676403030848758,0.08561550789070851,0.2726871418931468,0.2926012780059385
cornell,R1-4,1,4,8,0.6680719326694498,0.08533020375046256,0.27285332957962144,0.2921133405896803
cornell,R1-4,1,4,9,0.6653507802202661,0.08612480891802722,0.2708847221149091,0.29347028626085336
cornell,R1-4,1,4,10,0.6692746362514154,0.08512687448969418,0.2738087440350708,0.2917651015623599
cornell,R1-4,1,4,11,0.667589404864434,0.08558149103210352,0.27262542949556234,0.29254314388155384
cornell,R1-4,1,4,12,0.6679910107908987,0.08554039965199982,0.2730957709431823,0.2924729041330151
cornell,R1-4,1,4,13,0.6679047946836785,0.085438691849268,0.27273575502152547,0.29229897681871553
cornell,R1-4,1,4,14,0.667596809683405,0.0854956058544756,0.27260626812331473,0.2923963164174193
