cfg,R,Nsrc,Re,Im
71,2,13824,+7.4199283016678141e-08,+3.0456397731297537e-11
71,3,13824,+5.7572453634524944e-08,+5.6206721887372786e-10
72,0,13824,+1.7792708788688585e-07,+0.0000000000000000e+00
72,1,13824,+1.0230866524802023e-07,+8.8553211653793292e-10
72,2,13824,+7.4509716888587615e-08,+1.0537551334616910e-09
72,3,13824,+5.7937446147048693e-08,+1.4801122160989802e-09
73,0,13824,+1.7685037358355668e-07,+0.0000000000000000e+00
73,1,13824,+1.0241463310130404e-07,+1.0869261746577564e-10
73,2,13824,+7.4674801833714087e-08,+4.9875775692841999e-10
73,3,13824,+5.8333218290396630e-08,+3.7216544982637346e-10
74,0,13824,+1.7621040634991929e-07,+0.0000000000000000e+00
74,1,13824,+1.0182374810144990e-07,-5.6830329035295886e-10
74,2,13824,+7.4970901677593683e-08,-7.1991100916883682e-10
74,3,13824,+5.9538863930902537e-08,-1.0753415486584804e-09
75,0,13824,+1.7768455031609716e-07,+0.0000000000000000e+00
75,1,13824,+1.0382668662634077e-07,+1.1259573747119343e-11
75,2,13824,+7.6115537718834768e-08,-1.1756750951632853e-10
75,3,13824,+6.0425337390653969e-08,-2.5007866276024980e-10
76,0,13824,+1.7512541444540936e-07,+0.0000000000000000e+00
76,1,13824,+1.0164694021747803e-07,+2.7653541161535034e-10
76,2,13824,+7.4719016588088967e-08,+2.0503532989446060e-10
76,3,13824,+5.8203056978551720e-08,+3.7685486112690050e-10
77,0,13824,+1.7688340899941304e-07,+0.0000000000000000e+00
77,1,13824,+1.0306330582943771e-07,-2.5471988736236319e-10
77,2,13824,+7.6480846747285043e-08,-9.2325600074585040e-10
77,3,13824,+6.1377751579583160e-08,-1.4264969599322393e-09
78,0,13824,+1.7859774797366522e-07,+0.0000000000000000e+00
78,1,13824,+1.0387207413746651e-07,-5.9795389063817046e-11
78,2,13824,+7.7012627770453426e-08,-1.9417794557242542e-10
78,3,13824,+6.1310808227733097e-08,+4.8085379705920984e-12
79,0,13824,+1.7581777484786896e-07,+0.0000000000000000e+00
79,1,13824,+1.0217381923387194e-07,+4.3798361970390472e-10
79,2,13824,+7.5436009840326135e-08,+4.3211398487405797e-10
79,3,13824,+5.9522883578558233e-08,+4.1951324774730738e-10
7,0,13824,+1.7512793025372913e-07,+0.0000000000000000e+00
7,1,13824,+1.0141445741809959e-07,-6.5790117455583279e-10
7,2,13824,+7.4197090930444035e-08,-1.3116120385994885e-09
7,3,13824,+5.7845332706092852e-08,-1.4216963169397253e-09
80,0,13824,+1.7714437754421293e-07,+0.0000000000000000e+00
80,1,13824,+1.0256278474413212e-07,+2.7872937053468382e-10
80,2,13824,+7.4543335488517734e-08,+5.6637672979122710e-11
80,3,13824,+5.7785545645105272e-08,+1.3780562367919188e-10
81,0,13824,+1.7722048981532876e-07,+0.0000000000000000e+00
81,1,13824,+1.0333365959636505e-07,+3.1479891168355221e-10
81,2,13824,+7.5807929965918541e-08,+3.3840079179509964e-10
81,3,13824,+5.9509647571503524e-08,+7.6583915310456771e-10
82,0,13824,+1.7523677364604041e-07,+0.0000000000000000e+00
82,1,13824,+1.0098753397524809e-07,-2.2008786977499024e-11
82,2,13824,+7.3828504496816713e-08,+4.0525127997476596e-10
82,3,13824,+5.7162576496576173e-08,+8.7289108445583711e-10
83,0,13824,+1.7630702263202943e-07,+0.0000000000000000e+00
83,1,13824,+1.0213328165011775e-07,+1.3659853052896989e-10
83,2,13824,+7.6004532844511483e-08,+3.0974229528968045e-10
83,3,13824,+6.0415052587513665e-08,+4.8571964575319853e-10
84,0,13824,+1.7699170617698366e-07,+0.0000000000000000e+00
84,1,13824,+1.0270686696342751e-07,+6.4733988061620568e-11
84,2,13824,+7.5140917582823890e-08,+1.6026309627236315e-10
84,3,13824,+5.9714750415581120e-08,+2.3285133382439559e-10
85,0,13824,+1.7699435239702092e-07,+0.0000000000000000e+00
85,1,13824,+1.0310923519955233e-07,+1.0172706597752348e-10
85,2,13824,+7.5859774970170302e-08,+6.3049776362722516e-11
85,3,13824,+5.9112341305232716e-08,+4.9842144744481393e-10
86,0,13824,+1.7710023780257314e-07,+0.0000000000000000e+00
86,1,13824,+1.0287495838128584e-07,-3.4804062014527741e-10
86,2,13824,+7.5093453920905111e-08,-7.0879034620481387e-10
86,3,13824,+5.8108241254700068e-08,-1.3556601209857418e-09
87,0,13824,+1.7649030947259689e-07,+0.0000000000000000e+00
87,1,13824,+1.0209479267658013e-07,-1.6621136333101349e-10
87,2,13824,+7.4787749313874554e-08,-6.2425708513119055e-10
87,3,13824,+5.7917337065722742e-08,-7.0316570275215422e-10
88,0,13824,+1.7672403325223771e-07,+0.0000000000000000e+00
88,1,13824,+1.0262776896443002e-07,-9.0941576307027943e-12
88,2,13824,+7.5684184793938206e-08,+1.4801956278481112e-10
88,3,13824,+5.9557245245333303e-08,+2.4988463377035956e-10
89,0,13824,+1.7663786746871433e-07,+0.0000000000000000e+00
89,1,13824,+1.0268155465282337e-07,+6.0404389316040966e-10
89,2,13824,+7.5487696843445329e-08,+8.1970488175887797e-10
89,3,13824,+5.9642992357579972e-08,+5.3441379136255336e-10
8,0,13824,+1.8100809462216772e-07,+0.0000000000000000e+00
8,1,13824,+1.0598469585269266e-07,+2.9897769949539799e-10
8,2,13824,+7.8421215661911961e-08,+8.4325471382576053e-10
8,3,13824,+6.2115175171953681e-08,+1.2302696109006978e-09
90,0,13824,+1.7623487446919202e-07,+0.0000000000000000e+00
90,1,13824,+1.0261061402243336e-07,+5.2429715829082441e-10
90,2,13824,+7.4678937937406055e-08,+1.1318373456462092e-09
90,3,13824,+5.7822989306788968e-08,+1.7320085284860810e-09
91,0,13824,+1.7629974079816859e-07,+0.0000000000000000e+00
91,1,13824,+1.0230649338053936e-07,+2.1748356836923960e-10
91,2,13824,+7.5758709167296511e-08,+6.6408629893111668e-10
91,3,13824,+5.9987816193177830e-08,+9.6417862455943539e-10
92,0,13824,+1.7653246304971130e-07,+0.0000000000000000e+00
92,1,13824,+1.0350869987408761e-07,-1.9967372658482916e-10
92,2,13824,+7.6955715019112640e-08,+9.6769070298127032e-11
92,3,13824,+6.1211224686610608e-08,+7.8794996983347254e-11
93,0,13824,+1.7538085676193717e-07,+0.0000000000000000e+00
93,1,13824,+1.0231204442775186e-07,-1.4767849838976608e-10
93,2,13824,+7.5748568955638539e-08,-3.2045585336754442e-10
