radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
5,1,3,3,nan,nan,0,100,0,3.338878554311619e-20
5,1,4,1,0.49149736255601206,nan,99,100,0,3.338878554311619e-20
5,1,4,2,-0.2519845991064723,nan,99,100,0,3.338878554311619e-20
5,1,4,3,nan,nan,0,100,0,3.338878554311619e-20
5,1,5,1,-1.1941038987785277,nan,99,100,0,3.338878554311619e-20
5,1,5,2,0.904431037777057,nan,99,100,0,3.338878554311619e-20
5,1,5,3,nan,nan,0,100,0,3.338878554311619e-20
5,1,6,1,0.8407999563913087,nan,99,100,0,3.338878554311619e-20
5,1,6,2,0.7699230693941599,nan,99,100,0,3.338878554311619e-20
5,1,6,3,nan,nan,0,100,0,3.338878554311619e-20
5,1,7,1,2.460715910020576,nan,99,100,0,3.338878554311619e-20
5,1,7,2,nan,nan,0,100,0,3.338878554311619e-20
5,1,7,3,nan,nan,0,100,0,3.338878554311619e-20
5,2,3,1,0.7488178365726827,nan,97,100,1,6.041058255157505e-20
5,2,3,2,-1.098121395675659,nan,97,100,1,6.041058255157505e-20
5,2,3,3,nan,nan,0,100,1,6.041058255157505e-20
5,2,4,1,-2.1822155463507387,nan,97,100,0,6.041058255157505e-20
5,2,4,2,0.9137395802018324,nan,97,100,0,6.041058255157505e-20
5,2,4,3,nan,nan,0,100,0,6.041058255157505e-20
5,2,5,1,-1.3818707365006015,nan,97,100,0,6.041058255157505e-20
5,2,5,2,0.8631067791298745,nan,97,100,0,6.041058255157505e-20
5,2,5,3,nan,nan,0,100,0,6.041058255157505e-20
5,2,6,1,0.742203283160039,nan,97,100,0,6.041058255157505e-20
5,2,6,2,0.3898416634539764,nan,97,100,0,6.041058255157505e-20
5,2,6,3,nan,nan,0,100,0,6.041058255157505e-20
5,2,7,1,4.576268766131798,nan,97,100,0,6.041058255157505e-20
5,2,7,2,nan,nan,0,100,0,6.041058255157505e-20
5,2,7,3,nan,nan,0,100,0,6.041058255157505e-20
5,3,4,1,nan,nan,0,100,1,0.0
5,3,4,2,nan,nan,0,100,1,0.0
5,3,4,3,nan,nan,0,100,1,0.0
5,3,5,1,nan,nan,0,100,1,0.0
5,3,5,2,nan,nan,0,100,1,0.0
5,3,5,3,nan,nan,0,100,1,0.0
5,3,6,1,nan,nan,0,100,0,0.0
5,3,6,2,nan,nan,0,100,0,0.0
5,3,6,3,nan,nan,0,100,0,0.0
5,3,7,1,nan,nan,0,100,0,0.0
5,3,7,2,nan,nan,0,100,0,0.0
