basis,basis_profiles,basis_size,radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,6,1,3.7726587935847458,2.697376452441295,100,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,6,2,nan,nan,0,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,7,1,1.2313577753272373,3.1428095553729527,100,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,7,2,nan,nan,0,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,4,1,nan,nan,1,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,4,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,5,1,nan,nan,1,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,5,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,6,1,nan,nan,1,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,6,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,7,1,nan,nan,1,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,3,7,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,2,1,1.0460810311717592,0.014474859807906073,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,2,2,nan,nan,1,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,3,1,1.024758406061192,0.02670790748755617,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,3,2,nan,nan,1,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,4,1,0.5894541286812365,0.3953310978124254,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,4,2,-0.8328495681805934,nan,98,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,5,1,-0.9649408180733097,1.9631551573973136,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,5,2,0.9152171752692458,nan,99,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,6,1,1.759142877399511,3.962181123366703,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,6,2,nan,nan,1,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,7,1,2.003060066436214,2.3698462878567,100,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,1,7,2,nan,nan,0,100,0,1.4403470499007285e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,1,1.019836264758184,0.49725615487077945,100,100,1,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,2,nan,nan,1,100,1,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,4,1,-0.7819335703994462,1.8969176296947423,100,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,4,2,0.5385381309000858,nan,98,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,5,1,-1.0303436373337935,2.223546322341625,100,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,5,2,0.9806199945297316,nan,99,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,6,1,2.01810446072853,5.779054021675406,100,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,6,2,nan,nan,1,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,7,1,2.8318151619104763,3.441293172297477,100,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,7,2,nan,nan,0,100,0,1.3923535508359563e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,4,1,nan,nan,1,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,4,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,5,1,nan,nan,1,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,5,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,6,1,nan,nan,1,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,6,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,7,1,nan,nan,1,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,3,7,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,2,1,1.1304279179652603,0.015229364224194462,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,2,2,nan,nan,16,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,3,1,1.1177170992799295,0.029857213412065733,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,3,2,nan,nan,0,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,4,1,1.1312433057998765,0.0990018620854707,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,4,2,nan,nan,0,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,5,1,0.9604663949259429,0.9627328118318976,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,5,2,nan,nan,0,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,6,1,-1.1273733456913815,1.6875088064910566,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,6,2,nan,nan,1,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,7,1,2.344344813808024,1.8209294257099287,100,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,1,7,2,nan,nan,0,100,0,2.821609084192149e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,1,1.1270319106303797,1.9684765110282763,100,100,1,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,2,nan,nan,0,100,1,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,4,1,1.0826469249188788,0.2757525271284776,100,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,4,2,nan,nan,0,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,5,1,1.0025242048434015,3.1634359650552795,100,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,5,2,nan,nan,0,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,6,1,-2.730583353402659,3.2423299793918745,100,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,6,2,nan,nan,1,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,7,1,3.8386019541245138,3.296638393281244,100,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,7,2,nan,nan,0,100,0,2.6570599540755106e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,4,1,nan,nan,16,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,4,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,5,1,nan,nan,16,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,5,2,nan,nan,0,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,6,1,nan,nan,16,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,6,2,nan,nan,1,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,7,1,nan,nan,16,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,3,7,2,nan,nan,0,100,0,0.0
sigma001_constant,sigma=0.0100|constant,2,1,1,2,1,0.49295834091325874,0.016093102300284396,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,2,2,2.951351173885892,nan,97,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,3,1,0.4694234185644489,0.0776773755989447,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,3,2,-0.878118298720018,nan,96,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,4,1,0.2135062453269162,0.2972177684731281,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,4,2,-1.3650354001402158,nan,98,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,5,1,-0.10564177526501796,0.3728551467006054,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,5,2,0.4160218180696917,nan,99,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,6,1,1.0826400128768299,1.4402541757251504,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,6,2,1.760834844331379,nan,97,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,7,1,0.6963143789046018,0.9778082455940037,100,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,1,7,2,0.03114381412713481,nan,97,100,0,3.1079471053149234e-21
sigma001_constant,sigma=0.0100|constant,2,1,2,3,1,0.4786826463260079,0.2839555869860188,100,100,1,1.5090685133327952e-21
