4 3 1 +9.60019388e-01 nan 86/100
4 3 2 +nan nan 15/100
4 3 3 +nan nan 0/100
4 4 1 +8.56082941e-01 nan 86/100
4 4 2 +nan nan 15/100
4 4 3 +nan nan 0/100
4 5 1 +7.95250443e-01 nan 86/100
4 5 2 -7.77922248e-02 nan 87/100
4 5 3 -7.80436136e-01 nan 86/100
4 6 1 +6.51697698e-01 nan 86/100
4 6 2 +1.41414187e+00 nan 76/100
4 6 3 +2.37303337e+00 nan 85/100
4 7 1 +2.33597522e+00 nan 75/100
4 7 2 +nan nan 2/100
4 7 3 +nan nan 0/100
5 1 1 +1.11091534e+00 nan 97/100
5 1 2 +2.25656454e+00 nan 97/100
5 1 3 +4.60643614e+00 nan 97/100
5 2 1 +1.03719262e+00 nan 97/100
5 2 2 +3.22986611e+00 nan 97/100
5 2 3 +nan nan 0/100
5 3 1 +1.04937314e+00 nan 97/100
5 3 2 -1.41945510e-01 nan 95/100
5 3 3 +nan nan 0/100
5 4 1 +1.04848002e+00 nan 97/100
5 4 2 -3.57689246e-01 nan 95/100
5 4 3 +nan nan 0/100
5 5 1 +8.19296006e-01 nan 97/100
5 5 2 -4.53723774e-01 nan 97/100
5 5 3 -1.46245220e+00 nan 97/100
5 6 1 +9.71820214e-01 nan 97/100
5 6 2 +1.13768330e+00 nan 96/100
5 6 3 +7.14874603e-01 nan 97/100
5 7 1 +nan nan 12/100
5 7 2 +nan nan 0/100
5 7 3 +nan nan 0/100
6 1 1 +1.73385310e+00 nan 73/100
6 1 2 +3.54053233e+00 nan 73/100
6 1 3 +5.63000086e+00 nan 73/100
6 2 1 +1.10649353e+00 nan 73/100
6 2 2 +1.51668808e+00 nan 73/100
6 2 3 +nan nan 0/100
6 3 1 +1.14473645e+00 nan 73/100
6 3 2 -5.32374352e-01 nan 73/100
6 3 3 +nan nan 0/100
6 4 1 +1.85534264e+00 nan 53/100
6 4 2 +nan nan 0/100
6 4 3 +nan nan 0/100
6 5 1 +nan nan 2/100
6 5 2 +nan nan 0/100
6 5 3 +nan nan 0/100
6 6 1 +nan nan 2/100
6 6 2 +nan nan 0/100
6 6 3 +nan nan 0/100
6 7 1 +1.05498044e+00 nan 70/100
6 7 2 +8.10098907e-01 nan 71/100
6 7 3 +nan nan 0/100

Reduced 2x2 GEVP metric diagnostics
basis R tref antiherm b1(unitdiag) b2(unitdiag) condition status JKmetric
sigma001_sigma005 1 1 4.44e-04   1.8956e-01   1.8104e+00  9.551e+00 ok 100/100
sigma001_sigma005 1 2 1.68e-03   8.1619e-02   1.9184e+00  2.350e+01 ok 100/100
sigma001_sigma005 1 3 2.30e-03   4.8241e-03   1.9952e+00  4.136e+02 ok 96/100
sigma001_sigma005 2 1 9.83e-04   2.0768e-01   1.7923e+00  8.630e+00 ok 100/100
sigma001_sigma005 2 2 1.71e-03   8.1613e-02   1.9184e+00  2.351e+01 ok 100/100
sigma001_sigma005 2 3 5.70e-03   8.1522e-03   1.9918e+00  2.443e+02 ok 96/100
sigma001_sigma005 3 1 1.07e-03   2.2204e-01   1.7780e+00  8.007e+00 ok 100/100
sigma001_sigma005 3 2 5.58e-03   8.5147e-02   1.9149e+00  2.249e+01 ok 100/100
sigma001_sigma005 3 3 1.05e-04  -7.7113e-04   2.0008e+00        inf non_positive 25/100
sigma001_sigma005 4 1 9.88e-04   2.3931e-01   1.7607e+00  7.357e+00 ok 100/100
sigma001_sigma005 4 2 9.62e-03   7.9486e-02   1.9205e+00  2.416e+01 ok 100/100
sigma001_sigma005 4 3 2.07e-03  -1.4677e-02   2.0147e+00        inf non_positive 1/100
sigma001_sigma005 5 1 1.58e-04   2.5673e-01   1.7433e+00  6.790e+00 ok 100/100
sigma001_sigma005 5 2 1.49e-02   7.9068e-02   1.9209e+00  2.429e+01 ok 100/100
sigma001_sigma005 5 3 9.23e-03  -1.1882e-02   2.0119e+00        inf non_positive 1/100
sigma001_sigma005 6 1 3.04e-04   2.7314e-01   1.7269e+00  6.322e+00 ok 100/100
sigma001_sigma005 6 2 1.38e-02   7.3140e-02   1.9269e+00  2.634e+01 ok 100/100
sigma001_sigma005 6 3 1.77e-02  -3.0177e-03   2.0030e+00        inf non_positive 16/100
sigma001_constant 1 1 3.55e-04   2.0557e-01   1.7944e+00  8.729e+00 ok 100/100
sigma001_constant 1 2 2.06e-03   8.7314e-02   1.9127e+00  2.191e+01 ok 100/100
sigma001_constant 1 3 2.79e-03   8.8431e-03   1.9912e+00  2.252e+02 ok 97/100
sigma001_constant 2 1 7.50e-04   2.2536e-01   1.7746e+00  7.875e+00 ok 100/100
sigma001_constant 2 2 2.55e-03   8.8535e-02   1.9115e+00  2.159e+01 ok 100/100
sigma001_constant 2 3 5.73e-03   1.2898e-02   1.9871e+00  1.541e+02 ok 98/100
sigma001_constant 3 1 6.37e-04   2.4143e-01   1.7586e+00  7.284e+00 ok 100/100
sigma001_constant 3 2 7.30e-03   9.2915e-02   1.9071e+00  2.053e+01 ok 100/100
sigma001_constant 3 3 3.31e-03   2.8445e-03   1.9972e+00  7.021e+02 ok 82/100
sigma001_constant 4 1 3.75e-04   2.6059e-01   1.7394e+00  6.675e+00 ok 100/100
sigma001_constant 4 2 1.25e-02   8.8076e-02   1.9119e+00  2.171e+01 ok 100/100
sigma001_constant 4 3 1.65e-03  -1.1315e-02   2.0113e+00        inf non_positive 2/100
sigma001_constant 5 1 1.04e-03   2.8006e-01   1.7199e+00  6.141e+00 ok 100/100
sigma001_constant 5 2 1.95e-02   8.8617e-02   1.9114e+00  2.157e+01 ok 100/100
sigma001_constant 5 3 9.05e-03  -9.8003e-03   2.0098e+00        inf non_positive 4/100
sigma001_constant 6 1 5.96e-04   2.9892e-01   1.7011e+00  5.691e+00 ok 100/100
sigma001_constant 6 2 2.20e-02   8.3313e-02   1.9167e+00  2.301e+01 ok 100/100
sigma001_constant 6 3 1.58e-02   2.8467e-04   1.9997e+00  7.025e+03 ok 36/100

Reduced 2x2 principal effective energies in the reference-time regime
basis R tref tau state Eeff err JKvalid
sigma001_sigma005 1 2 3 1 +4.78721816e-01 2.74422788e-01 100/100
sigma001_sigma005 1 2 3 2 -1.37372722e+00 nan 95/100
sigma001_sigma005 1 3 4 1 -1.71850710e+00 nan 96/100
sigma001_sigma005 1 3 4 2 +4.84878093e-01 nan 94/100
sigma001_sigma005 1 3 5 1 -2.34131164e-01 nan 96/100
sigma001_sigma005 1 3 5 2 +5.12245953e-01 nan 95/100
sigma001_sigma005 2 2 3 1 +6.96053027e-01 3.45956026e-01 100/100
sigma001_sigma005 2 2 3 2 -7.24859608e-01 nan 96/100
sigma001_sigma005 2 3 4 1 -6.62059138e-01 nan 96/100
sigma001_sigma005 2 3 4 2 +7.57426500e-01 nan 95/100
sigma001_sigma005 2 3 5 1 -1.04893272e-01 nan 96/100
sigma001_sigma005 2 3 5 2 +7.71073902e-01 nan 95/100
sigma001_sigma005 3 2 3 1 +8.32781543e-01 1.69820950e-01 100/100
sigma001_sigma005 3 2 3 2 +nan nan 24/100
sigma001_sigma005 3 3 4 1 +nan nan 25/100
sigma001_sigma005 3 3 4 2 +nan nan 23/100
sigma001_sigma005 3 3 5 1 +nan nan 25/100
sigma001_sigma005 3 3 5 2 +nan nan 24/100
sigma001_sigma005 4 2 3 1 +9.23645144e-01 3.35460927e-01 100/100
sigma001_sigma005 4 2 3 2 +nan nan 1/100
sigma001_sigma005 4 3 4 1 +nan nan 1/100
