profile,sigma,radius,effective_time,effective_energy,jackknife_error,plateau_fit_T3_5,plateau_fit_error,chi2_dof,p_value,z2,shift_from_constant,paired_shift_z
constant,inf,1,3,0.4799924694828356,0.001982691163132015,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,1,4,0.4836348478153719,0.0027655142620552297,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,1,5,0.482896545827029,0.003513956547811694,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,1,6,0.47524047361160093,0.006784782921812641,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,1,7,0.46889763880305696,0.010193925036744444,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,2,1,0.7246283482303417,0.0019368845323479537,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,2,0.7121329412232262,0.00285018643752818,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,3,0.6968158740619942,0.005146885238345857,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,4,0.6963741467119778,0.008592843097163154,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,5,0.7005314653532865,0.01660391147031112,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,6,0.7572416114150757,0.028535464619290025,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,2,7,0.6284381622066341,0.06168375881547092,0.6968944896227726,0.0039978104730755476,0.0255691992884207,0.974754924284715,2.916803053051873,0.0,0.0
constant,inf,3,1,0.8676018053489457,0.0034036206060124295,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,2,0.8494263401121193,0.004895704300690365,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,3,0.8272637869806578,0.009190445078117882,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,4,0.8531394146818982,0.01568777078837414,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,5,0.8328472761956893,0.039732346390737215,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,6,0.7193463846029347,0.07697918335595438,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,3,7,1.5080671467760445,0.34800254664025176,0.8342234859158039,0.007339271564333409,0.9719340224360963,0.37835059151493716,1.5667998674121273,0.0,0.0
constant,inf,4,1,0.974409865242096,0.004755728273747146,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,4,2,0.9539428283456395,0.007598155092107271,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
constant,inf,4,3,0.9205580683425636,0.013200892399484153,0.9243324315387736,0.011325811353237228,0.2525921386324902,0.7767846376676907,2.163549946614268,0.0,0.0
